subjectID,sValid10,sValid20,sValid30,sValid40,sInvalid10,sInvalid20,sInvalid30,sInvalid40,dPrimeValid10,dPrimeValid20,dPrimeValid30,dPrimeValid40,dPrimeInvalid10,dPrimeInvalid20,dPrimeInvalid30,dPrimeInvalid40,dPrimeAValid10,dPrimeAValid20,dPrimeAValid30,dPrimeAValid40,dPrimeAInvalid10,dPrimeAInvalid20,dPrimeAInvalid30,dPrimeAInvalid40,criterionValid10,criterionValid20,criterionValid30,criterionValid40,criterionInvalid10,criterionInvalid20,criterionInvalid30,criterionInvalid40,criterionAvalid10,criterionAvalid20,criterionAvalid30,criterionAvalid40,criterionAinvalid10,criterionAinvalid20,criterionAinvalid30,criterionAinvalid40,hitRateValid10,hitRateValid20,hitRateValid30,hitRateValid40,hitRateInvalid10,hitRateInvalid20,hitRateInvalid30,hitRateInvalid40,falseAlarmsValid10,falseAlarmsValid20,falseAlarmsValid30,falseAlarmsValid40,falseAlarmsInvalid10,falseAlarmsInvalid20,falseAlarmsInvalid30,falseAlarmsInvalid40,avgConfValid10,avgConfValid20,avgConfValid30,avgConfValid40,avgConfInvalid10,avgConfInvalid20,avgConfInvalid30,avgConfInvalid40,avgCorrectConfValid10,avgCorrectConfValid20,avgCorrectConfValid30,avgCorrectConfValid40,avgCorrectConfInvalid10,avgCorrectConfInvalid20,avgCorrectConfInvalid30,avgCorrectConfInvalid40,avgIncorrectConfValid10,avgIncorrectConfValid20,avgIncorrectConfValid30,avgIncorrectConfValid40,avgIncorrectConfInvalid10,avgIncorrectConfInvalid20,avgIncorrectConfInvalid30,avgIncorrectConfInvalid40,metaDprimeUsingSvalid10,metaDprimeUsingSvalid20,metaDprimeUsingSvalid30,metaDprimeUsingSvalid40,metaDprimeUsingSinvalid10,metaDprimeUsingSinvalid20,metaDprimeUsingSinvalid30,metaDprimeUsingSinvalid40,mRatioValid10,mRatioValid20,mRatioValid30,mRatioValid40,mRatioInvalid10,mRatioInvalid20,mRatioInvalid30,mRatioInvalid40,mDiffValid10,mDiffValid20,mDiffValid30,mDiffValid40,mDiffInvalid10,mDiffInvalid20,mDiffInvalid30,mDiffInvalid40
1,0.374066809,0.625764892,0.537604255,0.819327243,0.4496961,0.766053989,1.119165219,0.700461799,2.61462021,2.59602781,1.594626179,0.123181575,2.543882198,2.057483877,1.698871663,0.653155738,2.083516524,2.084213413,1.521353115,0.131663068,1.891443913,2.124094295,1.242982792,0.613176656,0.478845456,-0.026943784,0.207857291,0.343806935,0.459723297,-0.354252188,0.300913549,0.221944414,-0.103028949,-0.248170678,-0.053252364,0.328449309,-0.020958419,-0.5119052,0.28070617,0.145083319,0.796296296,0.907407407,0.722222222,0.388888889,0.791666667,0.916666667,0.708333333,0.541666667,0.037037037,0.101851852,0.157407407,0.342592593,0.041666667,0.25,0.125,0.291666667,3.587962963,3.12962963,2.791666667,1.74537037,3.416666667,3,2.625,1.666666667,3.694736842,3.179487179,3.023668639,1.796460177,3.523809524,3.2,2.710526316,1.8,2.807692308,2.666666667,1.957446809,1.689320388,2.666666667,2,2.3,1.444444444,1.932128745,0.748341283,1.612715029,0.171305496,1.714046475,2.349913991,0.390529663,0.722930429,0.993468079,0.299322078,1.159306071,3.171392429,0.903190177,1.179653759,0.239090041,1.334287069,-0.01270349,-1.751779286,0.221611273,0.117289634,-0.183722698,0.357876943,-1.242870291,0.181120165
3,0.996521075,0.714765474,0.764691476,0.778042829,0.946282816,0.70852131,0.759186727,0.860206651,2.68193538,3.36025439,3.000714759,0.405297797,2.882013776,2.741718638,2.280186679,0.443888827,1.953688716,3.255464517,3.127786389,0.396549722,2.502198665,2.755805768,2.130457805,0.451034416,0.445187871,-0.674956814,-0.85472663,0.658985221,-0.290657508,-0.940132019,-0.591571057,0.326577869,0.282866031,-0.84166776,-1.019925492,0.611445304,-0.275718844,-1.055066187,-0.635173029,0.290990972,0.814814815,0.990740741,0.990740741,0.324074074,0.958333333,0.989583333,0.958333333,0.458333333,0.037037037,0.157407407,0.259259259,0.194444444,0.125,0.333333333,0.291666667,0.291666667,2.787037037,2.703703704,2.407407407,1.393518519,2.875,2.625,2.375,1.395833333,2.802083333,2.792929293,2.540106952,1.483606557,2.977272727,2.825,2.45,1.5,2.666666667,1.722222222,1.551724138,1.276595745,1.75,1.625,2,1.25,0.606419545,3.181048375,3.301330631,0.434323426,2.146619711,2.847217222,2.039963797,0.571312347,0.231501724,0.949073875,1.09142787,1.847259893,0.810908176,1.051756415,0.927379876,1.519646525,-2.013083823,-0.170691103,0.276549314,0.199205765,-0.50056005,0.140110158,-0.159742979,0.195361534
4,0.956721032,0.599947444,0.87741997,1.165093849,0.384130281,0.771646053,0.818325569,0.721911151,3.006835209,1.584721308,1.211884399,0.196814044,2.543882198,1.28606093,1.521236002,0.418899283,2.975738476,1.21018488,1.034654179,0.281471398,1.603534311,1.130859776,1.019039832,-0.005274653,0.178459916,0.175060912,0.840161393,1.226550667,0.459723297,0.324391101,0.971046395,0.757971924,0.143646238,0.006318524,0.77720503,1.203578543,-0.079299649,0.209830242,0.747102975,0.681852046,0.907407407,0.731481481,0.407407407,0.12962963,0.791666667,0.625,0.416666667,0.291666667,0.046296296,0.166666667,0.074074074,0.092592593,0.041666667,0.166666667,0.041666667,0.166666667,3.518518519,3.12962963,2.851851852,2.481481481,3.208333333,2.854166667,2.625,2.083333333,3.63681592,3.201183432,3.034722222,2.571428571,3.238095238,3.028571429,2.818181818,2,1.933333333,2.872340426,2.486111111,2.384615385,3,2.384615385,2.2,2.19047619,3.07413157,0.628659105,0.995330848,0.231025832,0.928010767,1.061973713,0.857427663,-0.076922381,1.047409869,0.437842107,0.924451751,0.618350609,0.513316835,0.937423867,0.731885068,-0.49178216,0.139147224,-0.807153246,-0.081340647,-0.142590412,-0.87986052,-0.070890246,-0.314105547,-0.233337938
5,1.143224389,1.338206446,0.860920582,1.155311442,1.444552488,1.106719331,1.217367288,1.275256534,3.935330301,3.385842314,2.042377761,-0.017572151,4.621982677,2.062261582,2.117770946,-0.074248476,3.689993796,2.91523245,1.754046492,0.193076767,3.450608244,2.030926221,1.208114268,0.374644662,0.013087246,-0.558004539,0.078185185,0.917243944,-6.66E-16,-0.189509558,-0.091463907,0.96602373,0.114872386,-0.268800479,0.000644166,0.904442385,0.329625649,-0.104012069,-0.01388582,0.914027933,0.974683544,0.987804878,0.827160494,0.17721519,0.989583333,0.888888889,0.875,0.157894737,0.023809524,0.128205128,0.135802469,0.181818182,0.010416667,0.2,0.166666667,0.176470588,3.220858896,2.60625,2.25308642,2.012820513,3.4,2.368421053,1.852941176,1.916666667,3.264150943,2.677852349,2.328467153,2.116883117,3.4,2.53125,1.827586207,2.117647059,1.5,1.636363636,1.84,1.911392405,NaN,1.5,2,1.736842105,3.496673933,2.593028935,1.077322006,0.292325298,1.849409393,2.352967918,-0.61435799,0.672909403,0.933522566,0.854563329,0.541407899,2.60562414,0.486691408,1.243909698,-0.319202399,4.695680733,-0.249002989,-0.441303159,-0.912530762,0.180135173,-1.950553709,0.461377296,-2.539023942,0.529605494
6,0.694428514,0.690918525,0.62378408,1.061513961,0.628178614,0.713260398,0.842116947,1.35795841,1.702888564,0.893924451,1.376418673,-0.235773927,0.916851257,0.867161647,0.648782202,-0.581315016,1.739191552,0.844433962,1.023727357,-0.130411332,0.813270684,1.067590325,0.505059066,-0.002802453,0.369196067,0.68118142,0.757894257,1.563990557,0.353792173,0.114941459,0.643030465,1.441006888,0.192113035,0.579025428,0.5431032,1.524605971,0.207322656,0.00265668,0.567184866,1.280737692,0.685185185,0.407407407,0.472222222,0.046296296,0.541666667,0.625,0.375,0.041666667,0.111111111,0.12962963,0.074074074,0.074074074,0.208333333,0.291666667,0.166666667,0.125,3.023148148,2.856481481,2.962962963,2.777777778,3.104166667,3,2.8125,2.75,3.223529412,3.02173913,3.059602649,2.761904762,3.28125,3.1875,2.862068966,2.818181818,2.282608696,2.564102564,2.738461538,2.792792793,2.75,2.625,2.736842105,2.692307692,1.991268959,0.953189594,0.908330457,-0.124119256,0.893542733,1.725033129,0.410697269,-0.093300796,1.306406601,1.52727382,0.927734707,0.952562312,1.274362256,2.204909218,0.815841564,1.267994469,0.467035265,0.329077807,-0.070753811,0.00618115,0.192374185,0.942672969,-0.09270595,-0.019719406
7,0.34231251,0.31478945,0.321490615,1.000577469,0.242266241,0.235732657,0.397333693,0.956177405,5.663468668,4.214728461,4.102804456,2.679215499,3.693985465,3.693985465,3.693985465,2.350415693,4.580112572,4.246362929,4.144357833,2.301655222,3.329827328,3.244821009,3.302642509,2.012204931,-3.11E-15,-0.724370104,-0.780332106,-0.574898076,-0.463998606,-0.463998606,-0.463998606,-0.20778628,-1.116237095,-1.546704396,-1.532493407,-0.476270673,-1.232447473,-1.208013457,-0.994748235,-0.200572721,0.997685185,0.997685185,0.997685185,0.972222222,0.989583333,0.989583333,0.989583333,0.916666667,0.002314815,0.083333333,0.101851852,0.222222222,0.083333333,0.083333333,0.083333333,0.166666667,3.791666667,3.310185185,3.069444444,2.449074074,3.354166667,3.145833333,3.020833333,2.354166667,3.791666667,3.391304348,3.16097561,2.513227513,3.456521739,3.195652174,3.108695652,2.452380952,NaN,1.444444444,1.363636364,2,1,2,1,1.666666667,3.10762768,4.246319248,4.315643811,1.845539914,3.142895243,2.810493549,2.987646044,1.523398745,0.66409804,1.037826066,1.065779079,0.708049611,0.967188225,0.866688435,0.886960434,0.691019512,-1.571843563,0.154767313,0.266358272,-0.760972235,-0.106622443,-0.432302174,-0.380763559,-0.681168157
8,0.362405245,0.414816966,0.780501838,0.953803946,0.718894945,0.921649253,0.703796985,1.092197982,3.421190132,4.156692023,1.93771743,0.321287007,2.985481088,4.042655734,1.468988744,-0.348670269,1.873090949,2.978930313,1.209201316,0.119322771,1.839875727,3.19892259,0.785580889,0.196050454,1.121139268,0.753388323,0.94564711,1.753862322,0.818250794,-0.289663471,0.415855008,1.557329262,0.247527948,-0.131548602,0.707446014,1.695568002,0.32654675,-0.308833632,0.273467139,1.408857469,0.722222222,0.907407407,0.509259259,0.055555556,0.75,0.989583333,0.625,0.041666667,0.002314815,0.002314815,0.027777778,0.027777778,0.010416667,0.041666667,0.125,0.083333333,2.833333333,2.439814815,2.24537037,2.111111111,2.75,2.208333333,2.020833333,1.791666667,2.844086022,2.451456311,2.25,2.099099099,2.761904762,2.234042553,1.972222222,1.869565217,2.766666667,2.2,2.232142857,2.123809524,2.666666667,1,2.166666667,1.72,1.527770446,2.090889936,0.743425044,0.104461617,0.97019509,0.912528867,-0.360413235,0.455341676,0.752178854,0.671535952,0.454429655,0.492427764,0.398584006,0.251672777,-0.292399084,-3.074794593,-0.50335611,-1.022703506,-0.892526826,-0.107674303,-1.463909326,-2.713325612,-1.593020497,0.603430162
9,0.560162671,0.650417092,0.872547967,0.886647226,0.661922134,0.856309983,1.026160936,1.031216345,1.900731024,1.588905672,0.613018236,0.548810023,1.636501588,0.719622081,0.182927814,-0.348670269,0.885140143,1.162750723,0.271463388,0.280263159,0.539169019,0.569361955,0.346308448,-0.123169046,1.881368822,0.887424684,1.479646443,1.318813806,1.492740544,0.79053834,1.058885473,1.557329262,1.592913754,0.703726652,1.414970697,1.266351138,1.127433791,0.690715884,1.01805109,1.409457053,0.175925926,0.462962963,0.12037037,0.148148148,0.25,0.333333333,0.166666667,0.041666667,0.002314815,0.046296296,0.037037037,0.055555556,0.010416667,0.125,0.125,0.083333333,3.24537037,2.921296296,2.865740741,2.384259259,3.166666667,2.666666667,2.520833333,2.041666667,3.322834646,2.986928105,2.871794872,2.389830508,3.133333333,2.75862069,2.68,2.043478261,3.134831461,2.761904762,2.858585859,2.37755102,3.222222222,2.526315789,2.347826087,2.04,0.843065318,1.150454173,0.284416858,0.267901445,0.519174148,0.469534865,0.561210523,-0.099674429,1.265526224,0.995471804,0.743931764,0.721858473,0.614807827,0.852679228,2.942807941,0.434111837,0.176887643,-0.005233179,-0.097898929,-0.103225936,-0.32527533,-0.081123401,0.37050473,0.129930987
10,0.468773095,0.549497689,0.589782157,1.020396449,0.442551821,0.725213414,0.511766795,0.640488006,1.62464722,1.565555909,0.991419138,-0.116676918,1.223012033,1.242945101,2.350415693,0.112087935,1.543259628,1.390311779,1.032659726,-0.107135469,1.148833502,1.110277399,1.680924716,0.145647459,0.016141038,-0.078856166,-0.039373246,0.675638201,-0.062983734,-0.190745251,0.20778628,0.374683332,-0.270914721,-0.265005035,-0.171962092,0.667799392,-0.272466856,-0.262016545,-0.100154983,0.305170768,0.787037037,0.805555556,0.703703704,0.231481481,0.75,0.791666667,0.833333333,0.375,0.203703704,0.240740741,0.324074074,0.268518519,0.291666667,0.333333333,0.083333333,0.333333333,2.962962963,2.875,2.560185185,1.694444444,2.833333333,2.875,2.6875,1.958333333,3.099415205,2.958579882,2.758389262,1.663461538,3,2.942857143,2.761904762,2.04,2.444444444,2.574468085,2.119402985,1.723214286,2.384615385,2.692307692,2.166666667,1.869565217,1.457827716,0.955808355,1.118627675,-0.111299676,1.040553447,0.797436131,0.944436814,-0.128519235,0.97220578,0.624882702,1.15339893,1.096070233,0.919119041,0.650175884,0.477456832,2.61285111,-0.04167758,-0.57377208,0.148774447,-0.009755384,-0.091566986,-0.429056808,-1.033620155,-0.07933188
12,1.154952375,1.614722344,1.146582822,0.924918553,0.990427308,1.169587372,0.94874275,1.069800557,1.781294012,1.826429235,1.319544102,0.28135493,0.292931816,0.939920986,0.812217801,0.548522283,1.289596331,1.347759324,0.927115825,0.24661087,0.068485811,0.800427574,0.776560179,0.256089813,-0.434310683,-0.532888976,-0.425552857,-0.11746586,-0.820955658,-0.680388887,-0.406108901,-0.274261141,-0.331465644,-0.293238548,-0.358637076,-0.120117172,-0.771673864,-0.603762223,-0.397186582,-0.252600396,0.907407407,0.925925926,0.861111111,0.601851852,0.833333333,0.875,0.791666667,0.708333333,0.324074074,0.351851852,0.407407407,0.490740741,0.75,0.583333333,0.5,0.5,2.435185185,2.407407407,2.425925926,2.37037037,2.375,2.395833333,2.375,2.416666667,2.456140351,2.447058824,2.439490446,2.4,2.346153846,2.516129032,2.451612903,2.379310345,2.355555556,2.260869565,2.389830508,2.333333333,2.409090909,2.176470588,2.235294118,2.473684211,0.401287084,0.97013597,0.235014995,0.137579492,-0.099223936,0.810629677,0.751926183,-0.316237932,0.237580809,0.642774747,0.189167822,0.478404556,-0.354988807,1.04484905,0.949126112,-0.624447845,-1.287768044,-0.539157875,-1.007347435,-0.150000319,-0.378736794,0.034795429,-0.040303821,-0.822666027
13,1.258117773,0.644081296,0.643031888,0.576297846,0.915036159,0.698268516,0.455439204,0.672684771,4.9170899,4.170711132,3.82901165,2.613227334,3.693985465,3.463328792,3.693985465,1.813721426,4.135435579,4.247786582,3.517470541,1.685054563,3.635311985,3.41211971,3.385982416,1.378704352,-0.373189384,-4.44E-16,0,1.048470343,0.463998606,-2.22E-16,-0.463998606,0.476133414,0.055984075,-0.437417243,-0.372065753,0.543914275,0.449082126,-0.285350725,-0.9365267,0.241805159,0.997685185,0.981481481,0.972222222,0.601851852,0.916666667,0.958333333,0.989583333,0.666666667,0.018518519,0.018518519,0.027777778,0.009259259,0.010416667,0.041666667,0.083333333,0.083333333,3.814814815,3.638888889,3.611111111,3.305555556,3.604166667,3.6875,3.604166667,3.145833333,3.813084112,3.688679245,3.647619048,3.436046512,3.717391304,3.782608696,3.673913043,3.263157895,4,1,2.333333333,2.795454545,1,1.5,2,2.7,2.33939558,5.652089326,3.094693082,1.414310784,4.273752835,4.637203164,3.516748037,1.071218255,0.519503649,1.448235717,0.855616401,0.756444206,1.295941943,1.514633712,1.036042072,0.716254138,-2.163740413,1.749348038,-0.522223422,-0.455372098,0.975956312,1.575602774,0.122341447,-0.424365782
