,dprime,meta_d,m_ratio,m_diff,participant,degrees,validity,criterion_manual,dprime_manual,dprime_metadpy,criterion_metadpy,Hit Rate,False Alarm Rate
0,1.557070758,1.456095622,0.93515058,-0.100975136,1,30,Valid,0.207857291,1.594626179,1.594626179,0.207857291,0.722222222,0.157407407
0,1.522478456,0.454543003,0.298554637,-1.067935454,1,30,Invalid,0.300913549,1.698871663,1.698871663,0.300913549,0.708333333,0.125
0,2.500201262,2.125370048,0.850079584,-0.374831213,1,10,Valid,0.478845456,2.61462021,2.61462021,0.478845456,0.796296296,0.037037037
0,2.16239279,1.529769179,0.707442786,-0.632623611,1,10,Invalid,0.459723297,2.543882198,2.543882198,0.459723297,0.791666667,0.041666667
0,2.512928771,0.670789442,0.266935319,-1.842139329,1,20,Valid,-0.026943784,2.59602781,2.59602781,-0.026943784,0.907407407,0.101851852
0,1.813520807,2.314153997,1.276055939,0.50063319,1,20,Invalid,-0.354252188,2.057483877,2.057483877,-0.354252188,0.916666667,0.25
0,2.725012499,3.209440148,1.177770799,0.484427649,3,30,Valid,-0.85472663,3.000714759,3.000714759,-0.85472663,0.990740741,0.259259259
0,1.928479096,1.864078742,0.966605625,-0.064400354,3,30,Invalid,-0.591571057,2.280186679,2.280186679,-0.591571057,0.958333333,0.291666667
0,2.565172772,0.587951196,0.2292053,-1.977221576,3,10,Valid,0.445187871,2.68193538,2.68193538,0.445187871,0.814814815,0.037037037
0,2.446153105,1.883721529,0.770075072,-0.562431576,3,10,Invalid,-0.290657508,2.882013776,2.882013776,-0.290657508,0.958333333,0.125
0,3.072459827,3.141104634,1.022341971,0.068644807,3,20,Valid,-0.674956814,3.36025439,3.36025439,-0.674956814,0.990740741,0.157407407
0,2.164550334,2.636392476,1.217986218,0.471842142,3,20,Invalid,#NAME?,inf,2.467561431,-0.803053416,1,0.333333333
0,1.163061079,0.925624067,0.79585164,-0.237437012,4,30,Valid,0.840161393,1.211884399,1.211884399,0.840161393,0.407407407,0.074074074
0,1.23204873,0.735276121,0.596791428,-0.496772609,4,30,Invalid,0.971046395,1.521236002,1.521236002,0.971046395,0.416666667,0.041666667
0,2.883844221,3.001619533,1.040839693,0.117775312,4,10,Valid,0.178459916,3.006835209,3.006835209,0.178459916,0.907407407,0.046296296
0,2.16239279,0.163899926,0.075795631,-1.998492864,4,10,Invalid,0.459723297,2.543882198,2.543882198,0.459723297,0.791666667,0.041666667
0,1.548027979,0.448377773,0.289644489,-1.099650206,4,20,Valid,0.175060912,1.584721308,1.584721308,0.175060912,0.731481481,0.166666667
0,1.162805005,0.894884341,0.769591064,-0.267920665,4,20,Invalid,0.324391101,1.28606093,1.28606093,0.324391101,0.625,0.166666667
0,1.972587194,0.934242423,0.473612739,-1.038344771,5,30,Valid,0.078185185,2.042377761,2.042377761,0.078185185,0.827160494,0.135802469
0,1.8090428,-0.695980896,-0.384723289,-2.505023696,5,30,Invalid,-0.091463907,2.117770946,2.117770946,-0.091463907,0.875,0.166666667
0,3.59957313,3.04293872,0.845360994,-0.55663441,5,10,Valid,0.013087246,3.935330301,3.935330301,0.013087246,0.974683544,0.023809524
0,3.261610012,1.608050599,0.493023566,-1.653559413,5,10,Invalid,,inf,3.800663378,0.037599822,1,0
0,3.072372764,2.230498463,0.725985626,-0.841874301,5,20,Valid,-0.558004539,3.385842314,3.385842314,-0.558004539,0.987804878,0.128205128
0,1.784291984,1.83929659,1.030827133,0.055004606,5,20,Invalid,-0.189509558,2.062261582,2.062261582,-0.189509558,0.888888889,0.2
0,1.324529272,0.689584416,0.52062603,-0.634944856,6,30,Valid,0.757894257,1.376418673,1.376418673,0.757894257,0.472222222,0.074074074
0,0.576042541,0.363643014,0.631278053,-0.212399527,6,30,Invalid,0.643030465,0.648782202,0.648782202,0.643030465,0.375,0.166666667
0,1.656913992,1.978780204,1.19425644,0.321866213,6,10,Valid,0.369196067,1.702888564,1.702888564,0.369196067,0.685185185,0.111111111
0,0.832874533,0.654011262,0.785245841,-0.17886327,6,10,Invalid,0.353792173,0.916851257,0.916851257,0.353792173,0.541666667,0.208333333
0,0.832874533,0.654011262,0.785245841,-0.17886327,6,20,Valid,0.68118142,0.893924451,0.893924451,0.68118142,0.407407407,0.12962963
0,0.795783455,1.649768919,2.073137997,0.853985463,6,20,Invalid,0.114941459,0.867161647,0.867161647,0.114941459,0.625,0.291666667
0,3.593271652,4.54545218,1.264989853,0.952180528,7,30,Valid,#NAME?,inf,3.873400549,-0.665630153,1,0.101851852
0,2.967204741,2.813412436,0.948169298,-0.153792304,7,30,Invalid,#NAME?,inf,3.419828259,-0.326920002,1,0.083333333
0,4.723788893,3.659124331,0.774616397,-1.064664562,7,10,Valid,,inf,5.204660855,4.44E-16,1,0
0,2.967204741,3.49452978,1.17771778,0.527325039,7,10,Invalid,#NAME?,inf,3.419828259,-0.326920002,1,0.083333333
0,3.697072183,4.692183885,1.269162097,0.995111702,7,20,Valid,#NAME?,inf,3.985324555,-0.60966815,1,0.083333333
0,2.967204741,2.905610709,0.979241732,-0.061594032,7,20,Invalid,#NAME?,inf,3.419828259,-0.326920002,1,0.083333333
0,1.817327918,0.360194653,0.198200143,-1.457133265,8,30,Valid,0.94564711,1.93771743,1.93771743,0.94564711,0.509259259,0.027777778
0,1.313457465,-0.631620016,-0.480883495,-1.945077481,8,30,Invalid,0.415855008,1.468988744,1.468988744,0.415855008,0.625,0.125
0,2.939343177,0.922708164,0.313916446,-2.016635013,8,10,Valid,inf,inf,3.191786226,1.006437315,0.722222222,0
0,2.383966143,0.594828001,0.249511933,-1.789138142,8,10,Invalid,inf,inf,2.711323882,0.681172191,0.75,0
0,3.643446012,0.803015212,0.220399921,-2.8404308,8,20,Valid,inf,inf,3.927288117,0.638686369,0.907407407,0
0,3.194901911,-0.075945109,-0.023770717,-3.27084702,8,20,Invalid,#NAME?,inf,3.768498528,-0.152584868,1,0.041666667
0,0.551243454,0.158622321,0.287753659,-0.392621133,9,30,Valid,1.479646443,0.613018236,0.613018236,1.479646443,0.12037037,0.037037037
0,0.551243454,0.158622321,0.287753659,-0.392621133,9,30,Invalid,1.058885473,0.182927814,0.182927814,1.058885473,0.166666667,0.125
0,0.551243454,0.158622321,0.287753659,-0.392621133,9,10,Valid,inf,inf,1.671327117,1.766666869,0.175925926,0
0,0.551243454,0.158622321,0.287753659,-0.392621133,9,10,Invalid,inf,inf,1.362344382,1.355661941,0.25,0
0,1.51101595,0.881331526,0.583270829,-0.629684424,9,20,Valid,0.887424684,1.588905672,1.588905672,0.887424684,0.462962963,0.046296296
0,0.624350937,0.42189085,0.675727103,-0.202460087,9,20,Invalid,0.79053834,0.719622081,0.719622081,0.79053834,0.333333333,0.125
0,0.971857061,1.028677635,1.058465978,0.056820574,10,30,Valid,-0.039373246,0.991419138,0.991419138,-0.039373246,0.703703704,0.324074074
0,2.067803476,0.541162897,0.261709057,-1.526640578,10,30,Invalid,0.20778628,2.350415693,2.350415693,0.20778628,0.833333333,0.083333333
0,1.587928055,1.28270372,0.807784532,-0.305224334,10,10,Valid,0.016141038,1.62464722,1.62464722,0.016141038,0.787037037,0.203703704
0,1.117543328,0.717135986,0.641707546,-0.400407342,10,10,Invalid,-0.062983734,1.223012033,1.223012033,-0.062983734,0.75,0.291666667
0,1.53048486,0.80366535,0.525105064,-0.72681951,10,20,Valid,-0.078856166,1.565555909,1.565555909,-0.078856166,0.805555556,0.240740741
0,1.132041213,0.709421714,0.626674811,-0.422619499,10,20,Invalid,-0.190745251,1.242945101,1.242945101,-0.190745251,0.791666667,0.333333333
0,1.286013538,0.088201245,0.068585005,-1.197812292,12,30,Valid,-0.425552857,1.319544102,1.319544102,-0.425552857,0.861111111,0.407407407
0,0.736315917,0.684898965,0.930169984,-0.051416952,12,30,Invalid,-0.406108901,0.812217801,0.812217801,-0.406108901,0.791666667,0.5
0,1.729008114,0.23636916,0.136707953,-1.492638954,12,10,Valid,-0.434310683,1.781294012,1.781294012,-0.434310683,0.907407407,0.324074074
0,0.254282669,-0.089667269,-0.352628314,-0.343949938,12,10,Invalid,-0.820955658,0.292931816,0.292931816,-0.820955658,0.833333333,0.75
0,1.766022502,0.4855035,0.274913541,-1.280519002,12,20,Valid,-0.532888976,1.826429235,1.826429235,-0.532888976,0.925925926,0.351851852
0,0.82604809,0.619521414,0.749982261,-0.206526676,12,20,Invalid,-0.680388887,0.939920986,0.939920986,-0.680388887,0.875,0.583333333
0,3.589076831,3.106154776,0.865446721,-0.482922055,13,30,Valid,2.22E-16,3.82901165,3.82901165,2.22E-16,0.972222222,0.027777778
0,2.967204741,3.419876591,1.152558347,0.45267185,13,30,Invalid,#NAME?,inf,3.419828259,-0.326920002,1,0.083333333
0,4.284373916,2.748299925,0.641470604,-1.53607399,13,10,Valid,#NAME?,inf,4.687685994,-0.258487431,1,0.018518519
0,2.967204741,3.627111659,1.222400197,0.659906918,13,10,Invalid,inf,inf,3.419828259,0.326920002,0.916666667,0
0,3.844958938,5.066847258,1.317789693,1.22188832,13,20,Valid,-2.22E-16,4.170711132,4.170711132,-2.22E-16,0.981481481,0.018518519
0,2.852153745,3.930247583,1.377992891,1.078093838,13,20,Invalid,-1.11E-16,3.463328792,3.463328792,-1.11E-16,0.958333333,0.041666667
0,1.743963523,0.342159541,0.196196501,-1.401803982,16,30,Valid,0.277918792,1.790437067,1.790437067,0.277918792,0.731481481,0.12037037
0,1.605739691,-0.118065949,-0.073527453,-1.72380564,16,30,Invalid,-0.077601882,1.779639368,1.779639368,-0.077601882,0.833333333,0.208333333
0,1.605739691,-0.118065949,-0.073527453,-1.72380564,16,10,Valid,1.393317073,0.244493903,0.244493903,1.393317073,0.101851852,0.064814815
0,0.583238598,-0.017737053,-0.030411316,-0.600975651,16,10,Invalid,1.028741939,0.708504377,0.708504377,1.028741939,0.25,0.083333333
0,1.913726266,0.257969464,0.134799563,-1.655756802,16,20,Valid,0.33966347,1.970588438,1.970588438,0.33966347,0.740740741,0.092592593
0,1.928479096,-0.140113616,-0.072654983,-2.068592712,16,20,Invalid,0.591571057,2.280186679,2.280186679,0.591571057,0.708333333,0.041666667
0,0.886831649,0.942678463,1.062973411,0.055846814,17,30,Valid,0.353792173,0.916851257,0.916851257,0.353792173,0.541666667,0.208333333
0,0.871671945,0.925910801,1.062223933,0.054238857,17,30,Invalid,0.177925193,0.993129114,0.993129114,0.177925193,0.625,0.25
0,2.008889416,2.929404501,1.458220885,0.920515085,17,10,Valid,-0.332063037,2.10186218,2.10186218,-0.332063037,0.916666667,0.236111111
0,1.502856496,2.141140136,1.424713631,0.63828364,17,10,Invalid,-0.60774059,1.852759908,1.852759908,-0.60774059,0.9375,0.375
0,0.957480867,0.62443906,0.652168708,-0.333041807,17,20,Valid,0.137955738,0.986892312,0.986892312,0.137955738,0.638888889,0.263888889
0,0.764709674,2.13536089,2.792381165,1.370651216,17,20,Invalid,-0.44357328,0.887146559,0.887146559,-0.44357328,0.8125,0.5
0,0.764709674,2.13536089,2.792381165,1.370651216,18,30,Valid,1.490567692,1.189575747,1.189575747,1.490567692,0.185185185,0.018518519
0,1.063451916,-0.316705775,-0.29780921,-1.380157691,18,30,Invalid,0.378496586,1.17784996,1.17784996,0.378496586,0.583333333,0.166666667
0,2.725012499,0.576711583,0.211636307,-2.148300916,18,10,Valid,0.85472663,3.000714759,3.000714759,0.85472663,0.740740741,0.009259259
0,1.351457022,0.553616373,0.409644083,-0.797840649,18,10,Invalid,0.068864026,1.486707552,1.486707552,0.068864026,0.75,0.208333333
0,2.830937338,0.643746737,0.227397028,-2.187190601,18,20,Valid,0.577176128,3.016358876,3.016358876,0.577176128,0.824074074,0.018518519
0,2.396759405,0.019764317,0.008246267,-2.376995088,18,20,Invalid,0,2.765988254,2.765988254,0,0.916666667,0.083333333
0,2.829999806,2.248824265,0.794637604,-0.581175541,19,30,Valid,0.306509118,2.959292886,2.959292886,0.306509118,0.87962963,0.037037037
0,1.030351576,0.955853453,0.927696405,-0.074498124,19,30,Invalid,1.081195848,1.300937097,1.300937097,1.081195848,0.333333333,0.041666667
0,3.204031035,3.515988071,1.097363925,0.311957036,19,10,Valid,0.380198939,3.410313255,3.410313255,0.380198939,0.907407407,0.018518519
0,1.574796896,-0.180555821,-0.114653402,-1.755352717,19,10,Invalid,inf,inf,1.826405737,1.123631263,0.416666667,0
0,2.860123094,2.215101319,0.774477617,-0.645021775,19,20,Valid,0.105112345,2.976212945,2.976212945,0.105112345,0.916666667,0.055555556
0,1.475443806,-0.135142568,-0.09159452,-1.610586374,19,20,Invalid,inf,inf,1.718194768,1.177736748,0.375,0
0,1.999600244,1.956006123,0.978198582,-0.043594121,20,30,Valid,-0.295490514,2.058934349,2.058934349,-0.295490514,0.907407407,0.231481481
0,1.605739691,0.859810326,0.535460592,-0.745929365,20,30,Invalid,0.077601882,1.779639368,1.779639368,0.077601882,0.791666667,0.166666667
0,3.250314441,0.472120399,0.145253761,-2.778194042,20,10,Valid,0.1994709,3.430069849,3.430069849,0.1994709,0.935185185,0.027777778
0,2.624456575,2.239511999,0.853324083,-0.384944576,20,10,Invalid,-0.174335135,3.114658523,3.114658523,-0.174335135,0.958333333,0.083333333
0,2.829999806,1.381375081,0.488118437,-1.448624725,20,20,Valid,-0.306509118,2.959292886,2.959292886,-0.306509118,0.962962963,0.12037037
0,2.16239279,1.965153263,0.908786448,-0.197239527,20,20,Invalid,-0.459723297,2.543882198,2.543882198,-0.459723297,0.958333333,0.208333333
0,3.524772124,3.069124337,0.87072986,-0.455647788,22,30,Valid,0.201739023,3.767233086,3.767233086,0.201739023,0.953703704,0.018518519
0,2.967204741,0.727402333,0.245147335,-2.239802407,22,30,Invalid,inf,inf,3.419828259,0.326920002,0.916666667,0
0,3.613101099,3.646822561,1.009333108,0.033721463,22,10,Valid,0.149600002,3.871511127,3.871511127,0.149600002,0.962962963,0.018518519
0,2.624456575,2.745996163,1.046310383,0.121539589,22,10,Invalid,0.174335135,3.114658523,3.114658523,0.174335135,0.916666667,0.041666667
0,4.015317268,0.780664047,0.19442151,-3.23465322,22,20,Valid,0.134864222,4.440439576,4.440439576,0.134864222,0.981481481,0.009259259
0,2.295500646,1.575758035,0.686455061,-0.71974261,22,20,Invalid,0.382121415,2.699085962,2.699085962,0.382121415,0.833333333,0.041666667
0,1.886136912,0.072869525,0.038634271,-1.813267387,23,30,Valid,0.353828973,1.942257431,1.942257431,0.353828973,0.731481481,0.092592593
0,1.620105015,0.597760147,0.368963828,-1.022344867,23,30,Invalid,0.760618001,1.94209279,1.94209279,0.760618001,0.583333333,0.041666667
0,1.620105015,0.597760147,0.368963828,-1.022344867,23,10,Valid,1.083240602,1.405829919,1.405829919,1.083240602,0.351851852,0.037037037
0,1.620105015,0.597760147,0.368963828,-1.022344867,23,10,Invalid,1.349542981,0.76424283,0.76424283,1.349542981,0.166666667,0.041666667
0,2.280928433,0.671455664,0.294378225,-1.609472769,23,20,Valid,0.046248352,2.348783994,2.348783994,0.046248352,0.87037037,0.111111111
0,1.265149069,0.600238406,0.474440855,-0.664910664,23,20,Invalid,-0.268347133,1.398148865,1.398148865,-0.268347133,0.833333333,0.333333333
0,3.072459827,2.620944027,0.853044197,-0.4515158,24,30,Valid,-0.674956814,3.36025439,3.36025439,-0.674956814,0.990740741,0.157407407
0,1.93469562,1.975554823,1.021119189,0.040859203,24,30,Invalid,-0.285388163,2.195211929,2.195211929,-0.285388163,0.916666667,0.208333333
0,3.964187102,4.098523848,1.03388759,0.134336746,24,10,Valid,inf,inf,4.284207948,0.460226454,0.953703704,0
0,2.624456575,3.469683765,1.322057983,0.845227191,24,10,Invalid,0.174335135,3.114658523,3.114658523,0.174335135,0.916666667,0.041666667
0,3.187483612,3.163596969,0.992506113,-0.023886643,24,20,Valid,-0.234201116,3.360609418,3.360609418,-0.234201116,0.972222222,0.074074074
0,2.446153105,2.499568658,1.021836553,0.053415553,24,20,Invalid,-0.290657508,2.882013776,2.882013776,-0.290657508,0.958333333,0.125
0,3.187483612,1.643280353,0.515541585,-1.54420326,26,30,Valid,-0.234201116,3.360609418,3.360609418,-0.234201116,0.972222222,0.074074074
0,2.967204741,0.505734673,0.170441448,-2.461470068,26,30,Invalid,inf,inf,3.419828259,0.326920002,0.916666667,0
0,3.524772124,0.783882196,0.222392305,-2.740889928,26,10,Valid,0.201739023,3.767233086,3.767233086,0.201739023,0.953703704,0.018518519
0,2.967204741,1.336829392,0.450534934,-1.630375349,26,10,Invalid,#NAME?,inf,3.419828259,-0.326920002,1,0.083333333
0,3.127238013,1.057202182,0.33806259,-2.070035831,26,20,Valid,-0.044329351,3.275096338,3.275096338,-0.044329351,0.953703704,0.055555556
0,2.396759405,1.045857154,0.436363013,-1.35090225,26,20,Invalid,0,2.765988254,2.765988254,0,0.916666667,0.083333333